segment,value,n,wape,mase,bias,interval_coverage
upc,3800039118,1053,0.4255458625384499,1.2584677429121793,0.003378548736826181,0.9173789173789174
upc,4116709428,449,0.5447298494242693,0.9550046177488982,-0.043401240035429584,0.9086859688195991
upc,4116709448,459,0.5223880597014925,0.901432798670171,-0.11276948590381426,0.9106753812636166
upc,4116709565,485,0.4941360437842064,1.0609068167768674,-0.19859265050820954,0.8845360824742268
upc,7027312504,148,0.3070776255707763,1.0637388729682362,-0.07134703196347032,0.8716216216216216
upc,7027316204,165,0.3667086481947943,1.1665833162379025,0.0006297229219143577,0.9030303030303031
upc,7027316404,161,0.31745694237720606,1.1643428284571544,-0.031681905166914735,0.906832298136646
upc,7110410455,564,0.4937528921795465,1.5290330185476655,-0.2586765386395187,0.8617021276595744
upc,7110410470,517,0.4614624505928854,1.3393347258147015,-0.1225296442687747,0.8684719535783365
upc,7110410471,502,0.5295256534365924,1.624763630002871,-0.2539528880283963,0.8625498007968128
upc,7192100336,536,0.5295035092279698,1.255563018992474,-0.15726540161164543,0.8507462686567164
upc,7192100337,569,0.4726950354609929,1.2423792597366083,-0.16276595744680852,0.8611599297012302
upc,7192100339,568,0.4058314566789143,1.2319859031309992,-0.20528623918454428,0.8433098591549296
upc,7218063052,649,0.7503486750348675,0.9192410525136361,0.36634123663412366,0.9291217257318952
upc,7218063979,572,0.864406779661017,1.0451077037010454,0.3723346090759978,0.9020979020979021
upc,7218063983,534,0.811586051743532,1.0391236007594,0.4043869516310461,0.8932584269662921
upc,7797502248,912,0.5180847909872517,0.9788984810075942,0.20649273643640675,0.9133771929824561
upc,7797508004,380,0.4118086696562033,1.0859363554667885,0.05107125062282013,0.9157894736842105
upc,7797508006,427,0.4268292682926829,1.216539035157788,-0.0448780487804878,0.882903981264637
upc,31254742725,769,0.5387596899224806,1.1763769657153442,-0.12156448202959831,0.8985695708712613
upc,31254742735,932,0.5320172528201725,1.5211833641330703,-0.3813868613138686,0.8175965665236051
upc,31254742835,826,0.5387054161162483,1.2402248865269418,-0.13500660501981507,0.8680387409200968
upc,88491201426,1386,0.4425387902601314,1.3214032848583708,0.07359394269653254,0.8484848484848485
upc,88491201427,1308,0.4071777113174878,1.329354095547813,-0.03695891704706438,0.8746177370030581
upc,88491212971,1162,0.42168674698795183,1.033577071735072,0.1383580834967778,0.9165232358003442
store_id,367,441,0.5049786628733998,1.1030096017244655,0.0631985368827474,0.8956916099773242
store_id,387,605,0.3526521982463777,1.2800728838608686,-0.09918537404390275,0.8512396694214877
store_id,389,624,0.4416780133566751,1.5277652596064104,0.15651948388770018,0.8605769230769231
store_id,613,590,0.3711852377572747,1.2680080033719974,0.05262090641792558,0.8847457627118644
